ID, Text, Created_at, Link
738050677897732096,'Hamilton's' Lin-Manuel Miranda on 2016: 'It's no more bizarre' than election of 1800
https://t.co/fT2XweaWB1 https://t.co/ApI8HFhftv,2016-06-01 16:52:48 +0000, http://money.cnn.com/2016/06/01/media/hamilton-lin-manuel-miranda-rolling-stone-election/index.html?sr=twCNN060116hamilton-lin-manuel-miranda-rolling-stone-election0452PMStoryLink&linkId=25078279
738048967196483584,Jeff Bezos is almost richer than Warren Buffett https://t.co/ZLL1kdsKT0 https://t.co/h5h5mcFqbz,2016-06-01 16:46:00 +0000, http://money.cnn.com/2016/06/01/investing/amazon-all-time-high-jeff-bezos-warren-buffett/index.html?sr=twCNN060116amazon-all-time-high-jeff-bezos-warren-buffett0446PMVODtopLink&linkId=25077597
738046701425033225,NYC officials are investigating the use of Trump Tower for campaign events https://t.co/fBuwO13GpD https://t.co/tCYYULfED9,2016-06-01 16:37:00 +0000, http://www.cnn.com/2016/06/01/politics/buildings-department-investigating-trump-tower/index.html?sr=twCNN060116buildings-department-investigating-trump-tower0437PMStoryPhoto&linkId=25077221
738044188785319936,For the NBA, and ESPN, LeBron James remains the gift that keeps on giving https://t.co/DgRWHfX3kN https://t.co/oPlwTd7Nef,2016-06-01 16:27:01 +0000, http://money.cnn.com/2016/06/01/media/lebron-james-nba-finals/index.html?sr=twCNN060116lebron-james-nba-finals0427PMVODtopPhoto&linkId=25076956
738041923953405952,U.S. Treasury cracks down on North Korea's money laundering https://t.co/a70lz0fYNQ https://t.co/8oSCMt6Xid,2016-06-01 16:18:01 +0000, http://money.cnn.com/2016/06/01/news/north-korea-money-laundering/index.html?sr=twCNN060116north-korea-money-laundering0418PMVODtopPhoto&linkId=25076675
738038399009951744,An Egyptian teenager has died during illegal genital mutilation surgery, official says https://t.co/ofVLjl0jBD https://t.co/8zPzYkI7jT,2016-06-01 16:04:01 +0000, http://www.cnn.com/2016/06/01/health/genital-mutilation-abdelaziz/index.html?sr=twCNN060116genital-mutilation-abdelaziz0404PMVODtopLink&linkId=25075519
738036010542567425,Why are we so quick to blame the parents in the incident at the Cincinnati Zoo? https://t.co/9gPbGMBGUn https://t.co/BSwLxSDz9T,2016-06-01 15:54:31 +0000, http://www.cnn.com/2016/06/01/health/gorilla-tragedy-parenting-blame/index.html?sr=twCNN060116gorilla-tragedy-parenting-blame/0354PMStoryLink&linkId=25075371
738032360327909377,Gunmen attack Mogadishu hotel, Somali officials say https://t.co/aD0MJTbLGV https://t.co/eqnkEcnz0j,2016-06-01 15:40:01 +0000, http://www.cnn.com/2016/06/01/africa/somalia-mogadishu-ambassador-hotel-siege/index.html?sr=twCNN060116somalia-mogadishu-ambassador-hotel-siege/0340PMStoryLink&linkId=25074619
738030468185133056,Memorial Day through Labor Day is the deadliest time for teen drivers https://t.co/aCsfFLX2rT https://t.co/UyliGjt5Uq,2016-06-01 15:32:30 +0000, http://www.cnn.com/2016/06/01/health/100-deadliest-days-teen-drivers/index.html?sr=twCNN060116100-deadliest-days-teen-drivers0332PMStoryLink&linkId=25074139
738027703178305536,Therapists often discriminate against black and poor patients, study finds https://t.co/bpSQMJ851u https://t.co/IDo9vdcJB5,2016-06-01 15:21:30 +0000, http://www.cnn.com/2016/06/01/health/mental-health-therapists-race-class-bias/index.html?sr=twCNN060116mental-health-therapists-race-class-bias/0321PMStoryLink&linkId=25073286
738024413715673089,The world's longest tunnel is officially opening today. https://t.co/3XJupAYC4w https://t.co/jh0SVpcZCj,2016-06-01 15:08:26 +0000, http://www.cnn.com/2016/06/01/europe/switzerland-longest-tunnel-gotthard/index.html
738020028637970437,Some of the harshest critics of Trump University were former employees https://t.co/ZhGVWPdrt6 https://t.co/8ZnSqZyuYf,2016-06-01 14:51:01 +0000, http://money.cnn.com/2016/06/01/news/trump-university-employees/index.html?sr=twCNN060116trump-university-employees/0251PMStoryLink&linkId=25071315
738017226859663361,In the '80s, U.S. films and TV shows were slow to acknowledge the AIDS crisis https://t.co/pWPhTXjikV https://t.co/hVwZbUSqH1,2016-06-01 14:39:53 +0000, http://www.cnn.com/2016/06/01/entertainment/80s-hollywood-aids-crisis/index.html?sr=twCNN06011680s-hollywood-aids-crisis0239PMStoryLink&linkId=25070815
738012731677257733,A machine Hitler used to communicate with his generals has been sold on eBay -- for $14 https://t.co/YmcrENlQOG https://t.co/ZYt2Lb9kNm,2016-06-01 14:22:01 +0000, http://money.cnn.com/2016/05/31/news/ebay-world-war-two-coding-machine/index.html?sr=twCNN060116ebay-world-war-two-coding-machine0222PMStoryLink&linkId=25070127
738010970010849280,The world's longest tunnel is officially opening today -- it's 35 miles long. https://t.co/ztREhmDO9Q https://t.co/o2C4tfFbuz,2016-06-01 14:15:01 +0000, http://www.cnn.com/2016/06/01/europe/switzerland-longest-tunnel-gotthard/index.html?sr=twCNN060116switzerland-longest-tunnel-gotthard0215PMStoryLink&linkId=25069844
738008608814858242,Trump throws tantrum after reporters do their job https://t.co/Zfjgm3BhlV via @CNNOpinion https://t.co/Mr8No2LOc0,2016-06-01 14:05:38 +0000, http://www.cnn.com/2016/06/01/opinions/donald-trump-tantrum-media-role-louis/index.html?sr=twCNN060116donald-trump-tantrum-media-role-louis0205PMStoryLink&linkId=25069456
738007610889273344,@AndrewProTV may we have permission to feature your video? Verify here: https://t.co/KoMhFITqc9,2016-06-01 14:01:40 +0000, 
738006317001023488,This smartphone costs $17,000 https://t.co/dJkUp0ZU3v https://t.co/scOgqN6dKJ,2016-06-01 13:56:32 +0000, http://www.cnn.com/2016/06/01/travel/solarin-super-secure-android-smart-phone/index.html?sr=twCNN060116olarin-super-secure-android-smart-phone0156PMStoryLink&linkId=25068970
738003567634681856,RT @CNNPolitics: Donald Trump is set to visit the United Kingdom a day after the "Brexit" vote https://t.co/0VBE0c3CIW https://t.co/JLQP6Ek…,2016-06-01 13:45:36 +0000, http://www.cnn.com/2016/06/01/politics/trump-visit-united-kingdom-brexit/index.html
738000148748460033,CNN Poll of Polls: Two points separate Clinton and Trump https://t.co/ZvrHo4djK1 https://t.co/kRQyFmV9z2,2016-06-01 13:32:01 +0000, http://www.cnn.com/2016/06/01/politics/hillary-clinton-donald-trump-poll-2016/index.html?sr=twCNN060116hillary-clinton-donald-trump-poll-20160132PMStoryLink&linkId=25067390
737997402423058433,RT @cnnbrk: Signals received by French navy are from one of EgyptAir Flight 804’s so-called black boxes, investigators say. https://t.co/qh…,2016-06-01 13:21:06 +0000, http://www.cnn.com/2016/06/01/africa/egyptair-possible-signal-detected/index.html
737995981250285572,RT @NewDay: Former zookeeper whose Facebook post on Harambe went viral: Playing the blame game is toxic. https://t.co/BZNVcoZi62 https://t.…,2016-06-01 13:15:27 +0000, http://www.cnn.com/2016/06/01/us/gorilla-shot-harambe/index.html?sr=twnewday060116gorilla-shot-harambe1245PMVODtopVideo&linkId=25065244http://www.snappytv.com/tc/2059326
737994108464201728,Donald Trump says he's talking to Ari Emanuel about collaborating on a film https://t.co/v8EF6GdR7X https://t.co/q4A4HO61o2,2016-06-01 13:08:01 +0000, http://www.cnn.com/2016/06/01/politics/donald-trump-convention-ari-emanuel/index.html?sr=twCNN060116donald-trump-convention-ari-emanuel/0108PMStoryLink&linkId=25066574
737991210007179264,The former CEO of pharmaceutical company Valeant is getting a $9 million golden parachute https://t.co/uwrczOVpIi https://t.co/ru3IBDvGsm,2016-06-01 12:56:30 +0000, http://money.cnn.com/2016/06/01/news/companies/valeant-pearson-ceo-golden-parachute/index.html?sr=twCNN060116valeant-pearson-ceo-golden-parachute/1256PMStoryLink&linkId=25065555
737987787933253633,This park turned old buses into cute Hello Kitty and Mickey Mouse hotels https://t.co/EMwenSbUOQ https://t.co/zvjyn5CFer,2016-06-01 12:42:54 +0000, http://www.cnn.com/2016/06/01/hotels/china-buses-turned-hotels/index.html?sr=twCNN060116china-buses-turned-hotels1242PMStoryLink&linkId=25065172
737984088192233473,Brazil's economy is spiraling deeper into a recession https://t.co/uexKdoBScZ https://t.co/YMfhMy6wJ4,2016-06-01 12:28:12 +0000, http://money.cnn.com/2016/06/01/news/economy/brazil-recession-economy/index.html?sr=twCNN060116/brazil-recession-economy1228PMStoryLink&linkId=25064767
737981018808930309,The fight for Falluja: Families reportedly used by #ISIS as human shields in city's center https://t.co/4WPPQzFeuH https://t.co/ZPOJAgXedI,2016-06-01 12:16:00 +0000, http://www.cnn.com/2016/06/01/middleeast/iraq-operation-falluja/index.html?sr=twCNN060116iraq-operation-falluja1216PMVODtopLink&linkId=25064404
737979130864668672,The world's longest tunnel is officially opening today -- it's 35 miles long. https://t.co/9wemCa7Koo https://t.co/5wUyu0UqI3,2016-06-01 12:08:30 +0000, http://www.cnn.com/2016/06/01/europe/switzerland-longest-tunnel-gotthard/index.html?sr=twCNN060116switzerland-longest-tunnel-gotthard1208PMStoryLink&linkId=25064334
737975860377079808,Therapists often discriminate against black and poor patients, study finds https://t.co/irOhyN5FxK https://t.co/7oL5DfujUK,2016-06-01 11:55:30 +0000, http://www.cnn.com/2016/06/01/health/mental-health-therapists-race-class-bias/index.html?sr=twCNN060116mental-health-therapists-race-class-bias/1155AMStoryLink&linkId=25063693
737972076468899844,A diamond-encrusted Golden Eagle statue made with 18 pounds of pure gold has been stolen. https://t.co/gdGozGjpp3 https://t.co/UGEEgYduf5,2016-06-01 11:40:28 +0000, http://www.cnn.com/2016/05/31/world/golden-eagle-stolen/index.html?sr=twCNN060116golden-eagle-stolen0238AMVODtopPhoto&linkId=25055309
737969632632524800,A machine Hitler used to communicate with his generals has been sold on eBay -- for $14 https://t.co/M86PhQg34o https://t.co/PAdogvLday,2016-06-01 11:30:45 +0000, http://money.cnn.com/2016/05/31/news/ebay-world-war-two-coding-machine/index.html?sr=twCNN060116ebay-world-war-two-coding-machine1130AMStoryLink&linkId=25063269
737968303138844672,A diamond-encrusted Golden Eagle statue made with 18 pounds of pure gold has been stolen. https://t.co/af21skC0Sw https://t.co/5oVrmDdIH9,2016-06-01 11:25:28 +0000, http://www.cnn.com/2016/05/31/world/golden-eagle-stolen/index.html?sr=twCNN060116golden-eagle-stolen1125AMVODtopPhoto&linkId=25063201
737966391786123264,Just In: A possible underwater signal from missing EgyptAir Flight 804 has been detected, according to investigators https://t.co/sOMioZhNea,2016-06-01 11:17:53 +0000, http://www.cnn.com/2016/06/01/africa/egyptair-possible-signal-detected/index.html?sr=twCNN060116egyptair-possible-signal-detected1117AMStoryLink&linkId=25063020
737964663506391041,"Truth ain't lie dude." An official Chinese account went on a bizarre Twitter spree https://t.co/7PZ0ECsH6I https://t.co/tidCKx07pR,2016-06-01 11:11:01 +0000, http://cnn.com/2016/06/01/asia/china-state-council-twitter/index.html?sr=twCNN060116china-state-council-twitter1111AMVODtopLink&linkId=25062874
737962150153576448,This park turned old buses into cute Hello Kitty and Mickey Mouse hotels https://t.co/gr9lWbAoiS https://t.co/g4tr6YYd4R,2016-06-01 11:01:01 +0000, http://www.cnn.com/2016/06/01/hotels/china-buses-turned-hotels/index.html?sr=twCNN060116china-buses-turned-hotels1101AMStoryLink&linkId=25062693
737959423545643008,How the GOP lost California Latinos https://t.co/M4s41Fvk86 https://t.co/f53UFeU50h,2016-06-01 10:50:11 +0000, http://www.cnn.com/2016/06/01/politics/trump-california-proposition-187/index.html?sr=twCNN060116trump-california-proposition-1871050AMStoryLink&linkId=25062404
737956406238797824,Search continues with no sign of Japanese boy left by parents in woods as "punishment" https://t.co/CfsAZyUSAA https://t.co/liDhhtFb54,2016-06-01 10:38:12 +0000, http://www.cnn.com/2016/06/01/asia/japan-missing-boy/index.html?sr=twCNN060116japan-missing-boy1038AMVODtopLink&linkId=25061844
737954279282102272,The world's longest tunnel is officially opening today -- it's 35 miles long. https://t.co/AKFFKISVhC https://t.co/4TRyq95B5R,2016-06-01 10:29:45 +0000, http://www.cnn.com/2016/06/01/europe/switzerland-longest-tunnel-gotthard/index.html?sr=twCNN060116switzerland-longest-tunnel-gotthard1029AMStoryLink&linkId=25061734
737945077100777472,26 women reported being sexually assaulted at Schlossgrabenfest music festival in Germany https://t.co/z6FXw8aRtN https://t.co/5htLiWnVoI,2016-06-01 09:53:11 +0000, http://cnn.com/2016/06/01/europe/germany-concert-sex-assaults/index.html?sr=twCNN060116germany-concert-sex-assaults0953AMStoryLink&linkId=25060822
737943916603965440,RT @cnni: Move over Delhi and Beijing -- the city with world's worst PM10 air pollution is in Nigeria https://t.co/uc2K9Rzs1o https://t.co/…,2016-06-01 09:48:34 +0000, http://cnn.com/2016/05/31/africa/nigeria-cities-pollution/index.html?sr=twcnni060116nigeria-cities-pollution0552AMVODtopLink&linkId=25057618
737939454200012800,"Truth ain't lie dude." An official Chinese account went on a bizarre Twitter spree https://t.co/6yVMoKIscg https://t.co/iO7dp07ByK,2016-06-01 09:30:50 +0000, http://cnn.com/2016/06/01/asia/china-state-council-twitter/index.html?sr=twCNN060116china-state-council-twitter0930AMVODtopLink&linkId=25060671
737931964259434496,Police are investigating parents of boy who fell into Cincinnati Zoo gorilla enclosure https://t.co/Hzz21Q8UBt https://t.co/Rsk8o7g8mX,2016-06-01 09:01:05 +0000, http://cnn.com/2016/06/01/us/gorilla-shot-harambe/index.html?sr=twCNN060116gorilla-shot-harambe0901AMVODtopLink&linkId=25059991
737927119318200321,RT @cnni: 40 tiger cub bodies have been found in a fridge at the "Tiger Temple" in Thailand https://t.co/GgVLfWiMV3 https://t.co/WwqsAe1oxR,2016-06-01 08:41:49 +0000, http://cnn.com/2016/06/01/asia/thailand-tiger-temple-cub-bodies-found/index.html?sr=twcnni060116thailand-tiger-temple-cub-bodies-found0839AMStoryGalLink&linkId=25059767
737919084919193600,Search continues with no sign of Japanese boy left by parents in woods as "punishment" https://t.co/cDnBVyYiyc https://t.co/X84gUGnWGi,2016-06-01 08:09:54 +0000, http://www.cnn.com/2016/06/01/asia/japan-missing-boy/index.html?sr=twCNN060116japan-missing-boy0809AMVODtopLink&linkId=25059256
737911928727703552,How Donald Trump could win: https://t.co/3qU0j97A5T https://t.co/iOazPqgn9v,2016-06-01 07:41:28 +0000, http://www.cnn.com/2016/05/31/politics/donald-trump-general-election/index.html?sr=twCNN060116donald-trump-general-election0741AMVODtopLink&linkId=25058854
737908287329427456,The fight for #Falluja: Families reportedly used by #ISIS as human shields in city's center https://t.co/0o6H4gJeTh https://t.co/csd3xZt9wb,2016-06-01 07:27:00 +0000, http://www.cnn.com/2016/06/01/middleeast/iraq-operation-falluja/index.html?sr=twCNN060116iraq-operation-falluja0726AMVODtopLink&linkId=25058657
737889113668489217,RT @cnnbrk: Baby with Zika virus-related microcephaly born in New Jersey, hospital officials say. https://t.co/QFoa9dMd50,2016-06-01 06:10:48 +0000, http://www.cnn.com/2016/06/01/health/baby-born-microcephaly-new-jersey/index.html
